Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
"Christone ""Kingfish"" Ingram",Before I'm Old,41.0,0.534,0.649,2.0,-5.526,1,0.041,0.0438,0.00474,0.0946,0.528,159.88,255118.0,4,2
ALESTI,Fooled by a Dream,40.0,0.161,0.973,4.0,-3.553,0,0.142,0.00657,,0.0931,0.216,93.699,217520.0,3,10
Kishore Kumar,Ham The Woh Thi,10.0,0.797,0.458,4.0,-10.843,1,0.438,0.866,,0.134,0.868,114.768,3.7316,4,3
Oblivians,Christina,24.0,0.26,0.997,9.0,-3.877,1,0.145,0.0174,0.733,0.158,0.216,173.717,119027.0,4,2
Mr. Oizo,Jo,39.0,0.798,0.866,1.0,-4.532,1,0.153,0.0191,0.415,0.703,0.513,119.546,136787.0,4,6
Emily Burns,Is It Just Me? (feat. JP Cooper) (Acoustic),50.0,0.574,0.345,4.0,-7.868,1,0.0761,0.674,,0.0875,0.403,137.665,213107.0,4,9
The White Stripes,Icky Thump,68.0,0.417,0.63,9.0,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214,254533.0,4,1
Damu The Fudgemunk,Tulips,47.0,0.437,0.687,6.0,-9.171,1,0.189,0.125,0.000391,0.205,0.371,106.041,334375.0,4,5
"Ennio Morricone, Raphaela Gromes, Julian Riem",Cinema Paradiso,42.0,0.241,0.0532,10.0,-21.302,1,0.0439,0.986,0.928,0.141,0.125,66.053,2.725166667,4,7
"Oscar Roberto Casares, Flavio Cucchi","7 Spanish songs (7 Canciones Sefaradies): No. 3, En la mar ay una torre",39.0,0.382,0.0164,7.0,-29.371,1,0.0452,0.975,0.914,0.113,0.506,74.326,2.248216667,5,7
LOUDNESS,Lost Without Your Love,33.0,0.492,0.565,9.0,-13.952,0,0.0277,0.0617,1.07e-05,0.193,0.309,136.135,296373.0,4,10
Super Besse,Holod,41.0,0.517,0.881,7.0,-6.079,1,0.0541,0.00709,0.72,0.118,0.832,166.985,292235.0,4,6
cleopatrick,bernard trigger,48.0,0.374,0.792,11.0,-4.118,1,0.0365,0.00044,0.0822,0.185,0.339,117.548,209049.0,4,10
Au√∞n,N√¶√∞ir um,31.0,0.115,0.758,2.0,-7.819,0,0.0731,0.000105,0.842,0.371,0.175,171.998,304440.0,4,8
◊ê◊®◊ô◊ß ◊ê◊ô◊ô◊†◊©◊ò◊ô◊ô◊ü,◊©◊™◊ô ◊í◊ô◊ò◊®◊ï◊™ ◊ë◊° ◊™◊ï◊§◊ô◊ù,20.0,0.434,0.893,4.0,-3.814,1,0.0471,0.131,0.00028,0.125,0.762,135.502,213200.0,4,10
Miri Mesika,Birkat HaMelech (The King's Bless),15.0,0.523,0.451,9.0,-8.292,0,0.0419,0.425,3.97e-05,0.0879,0.506,124.275,258880.0,4,9
T.I.,Top Back,59.0,0.597,0.678,2.0,-5.743,1,0.3,0.0103,,0.381,0.659,160.074,282413.0,4,5
The Killers,Jenny Was A Friend Of Mine,55.0,0.542,0.961,11.0,-5.606,1,0.0518,0.000128,0.00119,0.286,0.472,114.048,243933.0,4,10
Black Pistol Fire,Hope in Hell,47.0,0.338,0.521,9.0,-10.15,0,0.0341,0.0202,,0.325,0.287,145.687,267427.0,4,10
Beyond The Black,Human,40.0,0.446,0.798,,-7.089,1,0.0365,0.00147,,0.102,0.642,76.003,309267.0,4,8
R.E.M.,Find The River,59.0,0.423,0.442,2.0,-9.499,1,0.0268,0.22,,0.139,0.296,144.556,229733.0,4,10
Transatlantic,Reaching for the Sky,27.0,0.377,0.871,10.0,-6.24,1,0.0467,0.00381,,0.762,0.325,131.232,340573.0,4,8
The Beths,Jump Rope Gazers,39.0,0.56,0.412,5.0,-11.908,1,0.0255,0.00795,1.43e-06,0.107,0.44,99.979,312182.0,4,1
As Everything Unfolds,Grayscale,42.0,0.488,0.875,1.0,-5.371,0,0.0497,0.00737,1.45e-06,0.233,0.174,123.106,216211.0,4,8
Yoste,Arc,49.0,0.366,0.379,6.0,-11.534,1,0.0362,0.886,0.0219,0.102,0.0753,139.473,202560.0,4,6
Jade Bird,Different Kinds of Light,27.0,0.378,0.317,,-12.699,1,0.0311,0.621,0.0024,0.386,0.154,113.105,185533.0,4,9
Waylon Jennings,This Time,41.0,0.448,0.597,,-12.201,1,0.0381,0.0884,0.285,0.149,0.514,98.494,2.412216667,4,4
YUNGBLUD,"god save me, but don't drown me out",63.0,0.373,0.871,2.0,-3.706,1,0.0622,0.00115,,0.4,0.201,127.413,217510.0,4,10
Lata Mangeshkar,Kahan Tak Ham Uthaye Gham,,0.523,0.218,1.0,-10.22,1,0.033,0.979,1.07e-05,0.226,0.515,87.652,3.342666667,4,3
Dudu Tassa,◊í◊®◊û◊†◊ô◊î,20.0,0.455,0.717,9.0,-6.236,0,0.0292,0.142,,0.178,0.293,149.942,267757.0,4,10
Dudu Tassa,◊ú◊ï◊ú◊î,42.0,0.503,0.601,11.0,-5.991,0,0.0319,0.53,,0.133,0.302,151.852,198667.0,4,10
The Sleepy Jackson,Good Dancers,44.0,0.529,0.841,11.0,-4.724,0,0.0301,0.0426,0.0136,0.144,0.725,111.997,252133.0,4,1
"Lata Mangeshkar, Kishore Kumar",Sar Se Sarke,29.0,0.455,0.662,5.0,-7.767,1,0.0362,0.833,,0.0811,0.734,88.469,5.698616667,4,3
Red Desert,Older No Wiser,41.0,0.262,0.841,5.0,-7.043,1,0.0557,1.28e-05,0.776,0.109,0.339,136.216,336720.0,4,10
S. P. Balasubrahmanyam,Dil Deewana - Male Vocals,27.0,0.466,0.463,8.0,-11.904,1,0.0334,0.817,2.57e-05,0.16,0.537,82.038,5.379333333,4,3
Dr JOE,Tell Your Mother,39.0,0.575,0.658,5.0,-5.893,0,0.0383,0.00132,0.000272,0.0267,0.649,131.0,214187.0,4,10
The Moon & The Nightspirit,A Hajnal K√∂sz√∂nt√©se,34.0,0.202,0.458,2.0,-8.776,1,0.0298,0.0092,0.00187,0.309,0.0962,75.034,356173.0,4,8
Young Rising Sons,Skeletons,32.0,0.591,0.758,8.0,-2.522,1,0.0317,0.0254,0.0494,0.371,0.543,97.03,197938.0,4,6
Jeezy,And Then What,33.0,0.75,0.723,,-5.452,1,0.231,0.00829,,0.0588,0.747,170.006,245480.0,4,5
JayDaYoungan,Spot Em,52.0,0.653,0.628,5.0,-8.446,0,0.382,0.212,,0.0945,0.809,164.861,170917.0,4,5
wordsbyjuni,cause it's dark outside,33.0,0.629,0.459,10.0,-8.22,0,0.107,0.616,0.0217,0.106,0.427,80.988,244444.0,4,1
Bryce Janey,Funky Guitar Blues,43.0,0.563,0.871,5.0,-5.825,1,0.029,0.000197,0.0128,0.0928,0.517,114.894,261627.0,4,2
Eddie Cochran,Sittin' In The Balcony,26.0,0.508,0.479,7.0,-14.201,1,0.0685,0.625,7.03e-05,0.356,0.825,143.253,121800.0,4,10
Aviv Geffen,◊ó◊ú◊ï◊ú◊ô◊ù,16.0,0.144,0.288,4.0,-8.902,0,0.0301,0.152,0.127,0.126,0.0388,76.206,146267.0,3,10
Hadag Nahash,◊®◊¢◊ì◊î ◊î◊ê◊ì◊û◊î,27.0,0.564,0.81,2.0,-6.154,1,0.0602,0.0324,0.0152,0.174,0.435,60.473,249685.0,4,10
Pop Will Eat Itself,Can U Dig It?,4.0,0.654,0.89,9.0,-6.514,0,0.0906,0.00204,,0.272,0.684,129.014,195320.0,4,1
Death Cab for Cutie,I Will Possess Your Heart,56.0,0.605,0.619,9.0,-8.971,0,0.0261,0.423,0.313,0.0732,0.578,133.074,505773.0,4,6
Harmonize,Jeshi,37.0,0.777,0.793,7.0,-6.183,0,0.148,0.539,7.57e-06,0.172,0.899,96.92,197938.0,4,9
Ariana Grande,test drive,74.0,0.698,0.708,9.0,-4.943,0,0.0454,0.0251,,0.124,0.322,115.036,122174.0,4,9
"Shalmali, Mame Khan, Parth Bharat Thakkar, Purbayan Chatterjee, Nyzel Dlima, Darshan Doshi",Jugaadbandi,9.0,0.478,0.651,2.0,-5.559,0,0.0621,0.29,7.72e-05,0.49,0.577,93.191,3.6345,4,0
Luke Bryan,Rain Is A Good Thing,66.0,0.622,0.932,11.0,-4.66,0,0.0498,0.105,2.37e-06,0.328,0.519,108.051,2.936,4,4
Varg,Zeichen,22.0,0.197,0.962,9.0,-6.897,0,0.114,0.0007,0.736,0.343,0.0399,167.144,313000.0,3,8
No Love For The Middle Child,Happy Faces,42.0,0.571,0.654,9.0,-6.342,0,0.0314,0.000559,1.66e-06,0.194,0.383,74.987,196437.0,4,10
"Bobby ""Blue"" Bland",Farther Up The Road - Single Version,10.0,0.487,0.407,10.0,-11.082,1,0.0399,0.451,,0.245,0.647,104.634,177827.0,4,2
Meena,Tell Me,33.0,0.556,0.253,9.0,-12.391,1,0.0286,0.882,0.00939,0.104,0.21,152.783,295747.0,3,2
Sam Hunt,Break Up In A Small Town,68.0,0.579,0.776,8.0,-5.365,1,0.173,0.0749,,0.239,0.434,136.044,3.831333333,4,4
Bauhaus,Stigmata Martyr,42.0,0.48,0.438,11.0,-13.568,0,0.0821,0.00696,0.0184,0.424,0.323,141.996,221707.0,4,10
Frankie Ballard,Sunshine & Whiskey,67.0,0.67,0.737,9.0,-6.794,1,0.0434,0.223,,0.325,0.754,92.983,3.04,4,4
Yaron Herman Trio,Baby Mine,39.0,0.461,0.109,3.0,-21.082,1,0.0391,0.836,0.0202,0.103,0.132,118.379,4.442666667,5,7
Buffalo Fuzz,My Cosmic Love,23.0,0.411,0.679,2.0,-6.48,1,0.0341,0.00814,,0.13,0.229,79.081,285677.0,3,8
Dudu Tassa,◊î◊í◊ï◊ú◊î,37.0,0.512,0.879,8.0,-3.352,1,0.033,0.0035,1.72e-05,0.367,0.738,141.975,226653.0,4,10
Joe Bonamassa,Cradle Rock,44.0,0.411,0.91,2.0,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,230027.0,4,10
Walter Egan,Magnet and Steel,29.0,0.768,0.331,1.0,-14.248,0,0.0321,0.653,2.89e-05,0.0943,0.52,114.037,208107.0,3,10
Earthless,Uluru Rock,41.0,0.21,0.948,11.0,-5.542,0,0.107,0.000855,0.0299,0.108,0.314,117.646,848347.0,4,10
The Beatles,Till There Was You - Remastered,,0.727,0.338,5.0,-13.887,1,0.0454,0.79,,0.105,0.646,122.421,2.22511667,4,0
Left Lane Cruiser,Putain!,33.0,0.317,0.955,8.0,-5.196,1,0.131,2.83e-06,0.817,0.184,0.408,76.146,228693.0,4,8
Karen Nyame KG,Koko,38.0,0.812,0.725,8.0,-8.947,1,0.0579,0.0277,0.574,0.0826,0.617,115.038,172489.0,4,1
Ouri,Too Fast No Pain,32.0,0.707,0.562,6.0,-9.751,1,0.0664,0.654,0.112,0.117,0.26,141.988,260005.0,4,1
Antariksh,Quest,27.0,0.305,0.8,11.0,-7.152,1,0.0435,0.000908,0.00631,0.0693,0.273,114.007,374689.0,4,8
The Hellacopters,By the Grace of God,47.0,0.211,0.973,4.0,-3.292,1,0.154,0.0015,,0.0597,0.309,154.295,184640.0,4,6
Bonded,Suit Murderer,10.0,0.496,0.984,11.0,-3.899,0,0.136,3.41e-05,0.000335,0.368,0.247,107.48,252840.0,4,8
Stone Temple Pilots,Creep,58.0,0.66,0.567,4.0,-6.318,0,0.0289,0.00428,0.0137,0.11,0.182,107.754,332627.0,4,10
Tafia,Break The Bank feat. Meek Mill,46.0,0.784,0.453,10.0,-11.458,0,0.351,0.0159,,0.248,0.389,82.018,193902.0,4,5
Neon Trees,Animal,66.0,0.482,0.829,5.0,-5.576,1,0.0437,0.00034,,0.378,0.739,147.99,212307.0,4,10
The B-52's,Rock Lobster,38.0,0.556,0.849,8.0,-8.967,1,0.0443,0.00107,0.00582,0.154,0.456,91.19,409440.0,4,6
Red Ribbon,Way,20.0,0.309,0.745,9.0,-7.952,0,0.0383,0.0655,0.703,0.113,0.469,189.335,197810.0,4,10
Philip Sayce,Spirit,42.0,0.479,0.905,4.0,-6.606,0,0.0565,0.00076,0.00219,0.326,0.274,90.007,218088.0,4,2
The Curse Within,Demons,28.0,0.475,0.992,,-4.986,0,0.205,8.27e-06,0.822,0.12,0.0655,97.514,277000.0,4,8
The Fall of Troy,Mouths Like Sidewinder Misssles,46.0,0.383,0.883,,-4.854,1,0.0978,0.0057,0.0216,0.21,0.392,123.9,224347.0,4,10
Sonny Boy Williamson I,Got The Bottle Up And Gone,35.0,0.612,0.117,9.0,-15.357,1,0.177,0.99,0.00031,0.0788,0.781,172.444,153260.0,4,2
Black Paisley,Save the Best,27.0,0.432,0.777,10.0,-6.229,0,0.0354,2.38e-05,,0.319,0.413,145.011,233468.0,4,8
"Atif Aslam, Tulsi Kumar",Paniyon Sa,54.0,0.523,0.768,,-4.953,0,0.0566,0.447,0.000226,0.0833,0.669,75.03,3.937333333,4,3
Gang Starr,DWYCK,53.0,0.911,0.614,7.0,-11.176,1,0.338,0.00432,8.75e-06,0.0985,0.601,99.025,243267.0,4,5
Sum 41,Underclass Hero,57.0,0.347,0.988,9.0,-2.979,1,0.127,0.000708,,0.101,0.765,191.933,194133.0,4,10
St. Vincent,Pay Your Way In Pain,59.0,0.677,0.826,9.0,-6.8,1,0.368,0.395,,0.571,0.498,124.821,183880.0,4,9
The Spencer Davis Group,I'm A Man,2.0,0.281,0.614,,-9.066,1,0.0551,0.088,,0.252,0.498,134.665,522267.0,4,1
Bombay Bandook,Sagariya,18.0,0.29,0.816,11.0,-3.916,0,0.0465,0.0416,1.77e-06,0.0894,0.0671,132.803,6.875733333,4,0
my bloody valentine,Only Shallow,59.0,0.14,0.641,,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,256573.0,4,10
TOOL,The Pot,68.0,0.469,0.79,7.0,-6.889,1,0.0391,0.000148,0.372,0.282,0.466,107.45,381947.0,4,8
Beloved,Only Our Faces Hide,30.0,0.361,0.954,2.0,-4.097,1,0.0575,2e-05,0.223,0.309,0.176,172.944,232853.0,4,10
Alien Ant Farm,Smooth Criminal,75.0,0.653,0.964,9.0,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267.0,4,10
Waynewood,Picasso On The Concrete,33.0,0.492,0.729,4.0,-10.208,0,0.119,0.0693,0.000249,0.709,0.353,125.371,190080.0,4,8
Au5,I Miss You (feat. Kenny Raye),29.0,0.601,0.952,4.0,-3.247,0,0.155,0.00136,0.000678,0.0871,0.264,170.031,231529.0,4,10
GAUPA,Febersvan,43.0,0.312,0.634,6.0,-6.839,1,0.0307,0.00117,0.882,0.103,0.0788,130.424,447681.0,4,8
B.B. King,Playin' With My Friends,44.0,0.689,0.74,5.0,-9.161,0,0.0393,0.0666,0.000184,0.187,0.788,121.212,318040.0,4,2
Emarosa,The Past Should Stay Dead,49.0,0.386,0.941,6.0,-2.168,1,0.0515,0.00055,,0.14,0.483,90.913,273653.0,4,10
Gojira,Amazonia,64.0,0.382,0.954,9.0,-4.831,1,0.0417,0.00038,0.776,0.244,0.513,181.933,300783.0,4,10
Loyle Carner,You Don't Know,49.0,0.716,0.83,1.0,-4.67,0,0.222,0.244,1.69e-06,0.103,0.674,92.147,250451.0,4,5
Koralle,Laid Back,46.0,0.73,0.439,6.0,-8.672,0,0.361,0.325,6.2e-05,0.0947,0.145,86.825,199640.0,4,5
Earth Eater,Longclaw,28.0,0.466,0.965,1.0,-3.29,1,0.211,0.00112,0.0565,0.247,0.0591,99.971,320400.0,4,8
Omar Coleman,Strange Times,35.0,0.516,0.55,6.0,-7.304,1,0.0387,0.315,0.0469,0.261,0.719,178.42,261990.0,4,2
Cid Rim,Behind The Sun,38.0,0.696,0.63,5.0,-6.691,1,0.0664,0.0721,0.726,0.294,0.497,95.035,209817.0,4,6
Emily Burns,Is It Just Me?,50.0,0.574,0.345,4.0,-7.868,1,0.0761,0.674,,0.0875,0.403,137.665,213107.0,4,9
Dan Owen,Hideaway - Acoustic,37.0,0.369,0.236,7.0,-9.019,1,0.0308,0.908,,0.107,0.286,180.972,219373.0,3,9
Damien Jurado,Lincoln,22.0,0.494,0.139,,-14.209,1,0.043,0.925,0.000403,0.143,0.16,136.024,189120.0,4,1
Rico Nasty,OHFR?,63.0,0.86,0.717,1.0,-5.542,0,0.48,0.414,,0.0843,0.812,158.019,120964.0,4,5
Pyrex Pryce,No Chaser,37.0,0.495,0.623,2.0,-9.041,1,0.4,0.126,,0.124,0.421,71.912,146730.0,4,5
Foster,fools (can't help falling in love) (feat. Sody),75.0,0.706,0.604,2.0,-6.932,1,0.303,0.418,,0.242,0.361,82.03,165029.0,4,9
Rodney Crowell,Frankie Please,51.0,0.538,0.838,4.0,-7.613,0,0.0383,0.215,,0.0875,0.936,157.041,163307.0,4,10
BONES UK,Pretty Waste,51.0,0.66,0.835,4.0,-3.79,1,0.114,0.0001,0.000443,0.247,0.544,94.014,170500.0,4,10
Hey! Douglas,Lokomotif,32.0,0.603,0.541,2.0,-10.853,0,0.067,0.124,0.926,0.0709,0.384,179.963,346750.0,4,10
Killing Joke,The Death & Resurrection Show,42.0,0.566,0.939,7.0,-6.289,1,0.0862,0.00173,0.0075,0.106,0.346,100.011,416187.0,4,8
Tomer Yeshayahu,Good Morning,37.0,0.636,0.568,11.0,-8.232,1,0.0401,0.655,5.18e-05,0.346,0.884,118.444,247595.0,4,6
Asha Bhosle,Ab Ke Baras Bhejo Bhaiya,4.0,0.349,0.298,1.0,-11.061,1,0.0409,0.974,6.78e-05,0.11,0.547,87.627,3.585783333,3,3
Primal Scream,Gentle Tuesday,31.0,0.426,0.92,6.0,-5.503,1,0.0447,0.000114,0.00412,0.335,0.688,127.532,227120.0,4,6
Maximo Park,Our Velocity,53.0,0.535,0.92,7.0,-4.39,0,0.0535,0.031,1.43e-05,0.0493,0.587,95.987,200387.0,4,6
Royal Blood,Boilermaker,66.0,0.446,0.778,7.0,-4.774,1,0.173,0.000201,0.662,0.0492,0.683,94.508,209480.0,4,10
Kadialy Kouyate,Kanou Foro,31.0,0.564,0.292,5.0,-12.407,1,0.0397,0.912,0.875,0.087,0.508,94.918,4.213283333,4,7
John Garcia,Jim's Whiskers,32.0,0.343,0.872,5.0,-5.602,0,0.0914,0.0207,0.364,0.147,0.588,115.991,222169.0,4,8
The Raconteurs,Blank Generation (Studio Version) - Recorded at Electric Lady Studios,50.0,0.391,0.791,11.0,-5.964,0,0.0552,0.0232,0.295,0.124,0.582,131.09,233597.0,4,10
Sure Sure,Funky Galileo,63.0,0.802,0.325,10.0,-9.327,1,0.0466,0.164,0.162,0.156,0.648,110.995,246200.0,4,6
3 H√ºrel,Sevenler Aƒülarmƒ±≈ü,29.0,0.426,0.744,7.0,-10.153,1,0.0636,0.00143,0.189,0.18,0.655,134.714,353693.0,4,10
sendflowrs,stormcloak,24.0,0.725,0.576,2.0,-2.236,1,0.0431,0.638,,0.39,0.419,130.072,134797.0,4,10
PENPALS,The Stars My Destination,46.0,0.503,0.554,5.0,-7.551,0,0.305,0.389,,0.108,0.188,79.497,180290.0,4,5
Seckou Keita,Mikhi Nathan Mu-Toma,28.0,0.371,0.246,4.0,-19.136,1,0.0432,0.922,0.917,0.208,0.413,113.846,6.624216667,4,7
Fickle Friends,IRL,46.0,0.666,0.815,5.0,-5.692,1,0.0622,0.0702,3.57e-05,0.762,0.788,101.972,204065.0,4,6
Neumatic Parlo,Real Insight,21.0,0.397,0.835,11.0,-8.619,1,0.0383,1.32e-05,0.694,0.21,0.389,147.017,202953.0,4,10
Deftones,Do You Believe,40.0,0.258,0.918,,-7.533,1,0.0657,1.53e-05,0.0567,0.342,0.528,182.868,208493.0,4,8
Juice WRLD,Wishing Well,85.0,0.65,0.613,9.0,-6.13,0,0.128,0.00336,,0.267,0.0804,149.972,194621.0,4,9
Sturgill Simpson,Sugar Daddy - Theme from Vinyl,39.0,0.26,0.929,,-5.841,1,0.143,0.343,0.0356,0.139,0.358,81.971,225267.0,4,2
Vishal Mishra,Kaise Hua,65.0,0.37,0.467,2.0,-6.973,1,0.0411,0.442,,0.109,0.162,137.796,3.912033333,4,3
Stone Temple Pilots,Fare Thee Well,57.0,0.431,0.371,7.0,-8.709,1,0.0272,0.547,0.0154,0.0921,0.196,66.853,261880.0,4,10
Cake,The Distance,64.0,0.463,0.749,11.0,-8.118,0,0.0891,0.00796,0.00219,0.0558,0.888,183.048,179653.0,4,10
Shlomo Artzi,◊î◊ê◊ô◊© ◊î◊î◊ï◊ê,29.0,0.407,0.367,,-13.74,1,0.0356,0.752,,0.32,0.581,139.821,290000.0,4,10
Carlos Cano,A Rafael de Le√≥n,19.0,0.404,0.266,4.0,-12.272,1,0.0399,0.958,2.72e-05,0.11,0.322,100.831,349240.0,4,9
Tuna,◊û◊®◊§◊ß◊ô◊ù,42.0,0.542,0.812,6.0,-6.485,1,0.107,0.0798,,0.693,0.577,72.936,286470.0,4,5
Counting Crows,Perfect Blue Buildings,47.0,0.598,0.324,5.0,-12.553,1,0.0309,0.593,0.00526,0.106,0.376,80.231,300800.0,4,10
Bury Tomorrow,Earthbound,50.0,0.473,0.988,1.0,-3.078,1,0.0721,0.00438,2.37e-05,0.281,0.283,99.89,222101.0,4,8
The Bloody Beetroots,Cornelius,32.0,0.582,0.744,10.0,-5.49,1,0.0437,0.000459,0.051,0.0788,0.248,126.014,253000.0,3,6
Nick Leng,Lonely Shade of Blue,51.0,0.672,0.129,4.0,-12.984,1,0.0336,0.888,6.03e-05,0.0891,0.17,114.935,262600.0,4,6
Sara Evans,Suds in the Bucket,65.0,0.511,0.903,10.0,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992,3.787783333,4,4
Moshe Peretz,◊ë◊ó◊ï◊® ◊ó◊ì◊©,35.0,0.802,0.738,11.0,-6.08,0,0.0363,0.0478,0.000186,0.0781,0.428,128.021,195527.0,4,9
Ed Sheeran,Afterglow,85.0,0.641,0.324,11.0,-5.851,1,0.0299,0.698,,0.328,0.273,110.184,185487.0,4,9
Haiti Babii,This That Shit,49.0,0.88,0.554,1.0,-7.444,1,0.114,0.125,,0.121,0.372,91.585,178361.0,4,5
Dudu Aharon,◊ë◊ô◊ô◊ë◊ô,18.0,0.743,0.701,1.0,-6.362,0,0.0508,0.101,,0.0493,0.721,95.984,211321.0,4,9
Pat Benatar,Hit Me With Your Best Shot,71.0,0.741,0.58,4.0,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,171267.0,4,10
Chicken Shack,The Way It Is,38.0,0.627,0.282,4.0,-10.107,0,0.0263,0.189,0.00123,0.152,0.413,83.443,264293.0,3,2
Neon95,Flash,32.0,0.474,0.712,10.0,-8.205,1,0.114,0.581,0.902,0.781,0.47,84.461,193281.0,4,6
The Kount,Detour,26.0,0.859,0.777,7.0,-7.737,1,0.357,0.314,0.823,0.315,0.378,79.975,180563.0,4,1
Lifehouse,Breathing,50.0,0.499,0.82,2.0,-6.163,0,0.0301,0.0495,,0.345,0.593,144.949,265400.0,4,10
Windows 96,Glass Prism,37.0,0.654,0.757,10.0,-9.208,1,0.0919,0.0498,0.918,0.493,0.183,133.951,210896.0,4,6
Faze Miyake,Stay Woke,2.0,0.655,0.438,,-11.276,1,0.0433,0.012,0.648,0.222,0.557,148.018,174724.0,4,5
Catfish and the Bottlemen,Longshot,61.0,0.481,0.765,7.0,-4.025,1,0.0388,0.00381,0.000737,0.119,0.465,102.829,232960.0,4,10
Eyal Golan,◊î◊ê◊ù ◊ú◊î◊ô◊ï◊™ ◊ë◊ö ◊û◊ê◊ï◊î◊ë,31.0,0.62,0.494,,-6.298,1,0.029,0.222,,0.122,0.197,114.945,203078.0,4,9
Adi√≥s Amores,Luna Plateada,29.0,0.556,0.764,5.0,-5.525,0,0.0334,0.00519,2.44e-05,0.122,0.664,163.997,157119.0,3,6
Snail Mail,Pristine,57.0,0.483,0.688,,-5.508,1,0.0316,0.00435,0.00101,0.102,0.292,126.241,295333.0,4,6
Drones,Epitaph,13.0,0.361,0.902,6.0,-3.462,1,0.0524,1.68e-05,0.000329,0.339,0.427,164.976,183091.0,4,10
Mr. Airplane Man,Like That,19.0,0.328,0.893,3.0,-10.854,1,0.0594,0.353,0.441,0.0763,0.508,135.322,188546.0,4,2
KillRadio,"Election Year, Pt. 1",22.0,0.691,0.748,4.0,-9.94,1,0.05,0.0791,1.34e-05,0.115,0.548,103.012,248932.0,4,10
Gene Ammons,My Romance - Rudy Van Gelder Remaster,49.0,0.519,0.0422,1.0,-10.778,1,0.0537,0.966,0.929,0.124,0.397,130.436,4.215783333,3,7
Malena Villa,Lindos Problemas,44.0,0.792,0.724,3.0,-5.872,0,0.0442,0.322,0.00146,0.151,0.667,120.005,177818.0,4,6
Miri Mesika,◊õ◊õ◊î ◊ñ◊î (◊ú◊ê◊î◊ï◊ë ◊ê◊ï◊™◊ö),25.0,0.518,0.428,,-4.694,1,0.0329,0.103,2.41e-06,0.299,0.153,121.703,242416.0,4,9
John Campbell,Devil in My Closet,30.0,0.353,0.495,8.0,-11.503,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,360600.0,4,2
Patti Smith,People Have the Power,51.0,0.622,0.737,2.0,-9.296,1,0.0289,0.0349,4.6e-06,0.318,0.742,130.255,310400.0,4,1
Faye Webster,Cheers,56.0,0.613,0.376,6.0,-8.592,0,0.0377,0.0919,0.324,0.149,0.496,170.2,195627.0,4,1
Zonderling,Lifetime - Acoustic Version,55.0,0.726,0.223,7.0,-12.551,1,0.0324,0.919,4.34e-06,0.121,0.661,94.034,187584.0,4,9
Biffy Clyro,Re-arrange,52.0,0.634,0.746,4.0,-8.574,1,0.0352,0.0601,1.51e-05,0.103,0.513,134.048,217933.0,4,10
Contumacy,Born Again,34.0,0.383,0.909,1.0,-6.623,1,0.0825,2.62e-06,0.849,0.311,0.503,179.985,162000.0,4,8
Holy Wars,TV DINNER,35.0,0.452,0.885,4.0,-3.409,1,0.0653,0.00301,2.97e-05,0.42,0.464,80.036,155360.0,4,10
Clairo,Sofia,83.0,0.744,0.619,,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387.0,4,10
Mastodon,Colony of Birchmen,48.0,0.416,0.927,2.0,-3.257,1,0.0844,3.29e-05,0.00872,0.0782,0.339,125.758,259693.0,4,8
Savoy Brown,Hellbound Train,49.0,0.268,0.567,9.0,-17.114,0,0.0355,0.0529,0.681,0.157,0.518,163.057,550507.0,4,10
Monophonics,Suffocating,40.0,0.545,0.783,6.0,-6.265,0,0.0567,0.0261,2.46e-05,0.143,0.402,82.437,254053.0,4,9
Marife De Triana,Maria de la O,37.0,0.422,0.491,9.0,-4.618,0,0.0358,0.947,1.2e-06,0.358,0.497,120.501,223160.0,4,9
–®—Ç–∞–¥—Ç,–ü–µ—Ä–ø–µ—Ç—É—É–º-–º–æ–±–∏–ª–µ,26.0,0.522,0.747,2.0,-9.554,1,0.033,2.21e-05,0.868,0.139,0.313,124.995,257088.0,4,6
Rise Against,The Violence,61.0,0.294,0.92,10.0,-2.471,0,0.0635,4.11e-05,0.000232,0.0804,0.582,184.007,228720.0,4,10
Ólafur Arnalds,saman - string quartet version,36.0,0.187,0.159,,-15.417,0,0.0436,0.982,0.718,0.116,0.0593,87.594,2.806066667,4,7
Juls,Chance,49.0,0.807,0.458,1.0,-11.491,0,0.148,0.0813,2.51e-06,0.0996,0.639,96.967,225384.0,4,9
80KIDZ,Your Closet - yonkey Remix,18.0,0.666,0.537,7.0,-6.492,1,0.159,0.172,1.76e-06,0.0654,0.549,105.136,197995.0,4,9
FXXXXY,Yeah Kool (feat. Lil Uzi Vert),61.0,0.746,0.654,10.0,-5.856,0,0.0613,0.0117,,0.101,0.265,130.048,200298.0,4,5
