class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,7.99,s,,y,f,a,c,w,6.57,17.97,,,w,,,f,f,,d,a
e,8.65,f,,n,f,x,c,w,7.43,20.43,,s,w,,,f,f,,d,a
e,7.36,f,s,n,f,s,,n,8.4,11.04,,i,n,,,f,f,,d,a
p,6.47,b,y,n,f,,,k,12.81,17.12,,,w,,,f,f,,d,a
e,6.3,f,s,w,f,e,c,n,4.46,11.68,,,w,,w,t,e,,g,a
p,22.79,x,g,e,f,p,,y,5.47,33.37,,,n,,,f,f,,d,a
e,5.53,x,h,y,t,x,c,y,5.86,14.12,,,w,,,f,f,,d,a
e,0.96,p,g,g,f,,,g,3.12,1.69,,,w,,,f,f,,d,w
e,4.67,x,,w,f,a,,r,5.82,7.05,,,w,,,f,f,,d,a
p,2.91,x,g,n,f,a,,p,9.47,2.89,,,n,,,f,f,,d,a
e,4.79,f,,n,f,x,c,n,7.55,4.56,,,w,,,f,f,,d,a
e,5.76,f,y,g,f,s,,w,4.8,8.19,,,w,,,f,f,,d,u
p,1.18,x,g,w,f,a,d,w,2.72,1.43,,,e,,,f,f,,l,a
p,7.42,s,t,g,t,d,,w,4.57,12.11,,t,r,,,f,f,,d,u
p,10.7,x,t,n,f,a,d,w,11.9,34.29,,,w,,,f,f,,d,u
e,8.89,x,h,y,f,p,,y,7.93,14.63,,,y,,y,t,,,d,a
e,3.04,f,d,g,t,d,c,p,3.55,4.81,,,n,,,f,f,,d,a
p,3.1,x,y,o,f,a,,o,2.89,5.74,,,y,,,f,f,,h,a
p,10.97,x,e,y,t,p,,e,8.54,22.45,,,e,,,f,f,,d,a
p,5.17,f,l,n,f,x,d,n,6.54,5.1,,,y,,,f,f,,l,u
e,12.55,f,s,n,t,e,,g,7.97,16.97,s,,w,,,t,r,,m,a
e,6.52,x,s,b,f,x,c,w,7.76,11.35,,s,n,,,f,f,,l,a
e,6.0,f,h,k,f,s,d,w,5.22,10.17,,s,g,,,f,f,,d,u
p,13.26,x,s,g,f,s,,y,8.25,18.36,,i,n,,,f,f,,d,a
e,4.02,x,k,n,f,p,,n,4.79,10.26,,,n,,,f,f,,d,a
p,2.81,s,d,w,f,d,d,p,2.9,2.08,,h,w,,,f,f,,g,u
e,14.95,x,s,n,t,e,,g,11.7,18.05,s,,w,,,t,l,,m,u
p,0.69,x,g,o,f,,,y,3.64,0.87,,,y,,,f,f,,d,u
e,7.22,x,h,n,f,p,d,y,6.08,12.57,,s,n,,,f,f,,g,a
e,11.2,f,,n,f,s,c,u,9.2,23.3,,,b,,,f,f,,l,a
p,0.78,x,g,w,f,a,d,w,2.75,1.28,,,e,,,f,f,,l,u
e,10.87,x,h,n,t,p,,y,7.94,22.01,,,n,,,f,f,,d,u
p,3.37,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,6.45,s,d,e,t,d,c,n,7.07,9.36,,,n,,,f,f,,d,a
e,1.0,x,g,e,t,a,,p,5.19,0.98,,,n,,,f,f,,h,u
p,2.29,x,s,o,f,a,,o,3.02,5.36,,,y,,,f,f,,m,a
e,4.19,x,,w,f,x,c,n,7.81,8.97,b,,n,,w,t,,,d,s
e,4.46,x,t,n,f,p,,n,6.28,11.55,,,n,,,f,f,,d,u
p,3.28,x,y,y,f,a,,w,5.3,3.44,,y,y,,,t,r,,g,u
p,1.06,x,g,w,f,a,d,w,3.03,1.68,,,n,,,f,f,,l,a
p,2.71,b,y,n,f,e,c,w,4.09,3.41,,k,w,,,t,e,,m,u
e,6.04,x,y,w,f,e,c,n,5.38,10.81,,,w,,w,t,e,,m,u
p,7.58,p,y,w,f,,,k,12.58,16.58,,,w,,,f,f,,d,a
e,9.41,x,d,y,t,p,,y,7.12,12.95,,,y,,,f,f,,d,a
p,2.58,x,g,n,f,a,,p,6.57,2.43,,,w,,,f,f,,d,u
p,9.18,o,,n,f,f,f,f,2.97,24.58,,g,n,,,f,f,,d,s
p,0.81,x,g,y,f,,,y,3.66,0.82,,,y,,,f,f,,d,a
p,6.29,x,e,e,f,a,,w,8.85,10.78,,,y,,w,t,z,,d,a
e,12.34,x,e,l,f,x,c,w,6.81,20.46,,,w,,,f,f,,d,a
e,6.29,x,y,n,f,e,c,w,4.91,10.22,,y,n,,,f,f,,d,a
e,10.81,f,s,u,f,x,,n,8.21,26.84,,,p,,,f,f,,d,a
p,13.23,x,h,y,f,s,,y,8.33,18.22,,i,n,,,f,f,,d,a
p,6.83,c,e,w,t,x,c,r,7.11,11.9,,,w,,,f,f,,g,s
p,8.34,s,t,p,t,d,c,p,7.53,12.23,,,p,,,t,f,,d,u
e,8.92,x,s,n,f,e,c,p,7.37,9.67,,i,n,,,f,f,p,d,a
p,2.98,b,,n,f,a,,n,8.37,2.25,,,n,,w,f,f,k,g,u
e,11.88,p,s,n,t,e,,g,7.93,17.12,s,,w,,,t,r,,m,u
p,2.4,b,g,w,f,,c,n,5.59,3.02,,,n,,,f,f,,g,s
e,6.92,x,s,w,f,s,c,w,7.23,32.39,,,w,,,f,f,,d,s
e,3.78,f,y,g,f,s,,y,4.34,6.71,,,w,,,f,f,,d,u
p,3.39,b,h,l,f,s,c,u,6.49,7.86,,y,l,,,t,e,u,g,a
e,7.69,f,,l,f,s,c,u,6.59,19.52,,,u,,,f,f,,l,w
p,0.56,x,,o,f,d,,o,3.89,0.87,,,y,,,f,f,w,g,u
p,6.83,f,h,e,f,x,d,w,6.83,17.83,b,,w,,,f,f,,d,u
e,13.05,p,s,n,t,e,,g,10.11,17.76,s,,w,,,t,r,,m,u
p,7.3,f,,r,f,x,c,y,7.0,12.36,,,w,,,f,f,,d,a
e,7.35,f,,p,f,x,c,w,6.87,17.08,,s,w,,,f,f,,d,u
p,3.49,f,k,n,f,s,,p,3.71,2.99,,,n,,,f,f,p,g,a
e,6.4,x,h,n,f,a,d,n,5.48,4.89,,t,g,,,t,l,,d,a
e,7.99,x,h,y,t,x,c,y,8.66,16.6,,,w,,,f,f,,d,a
p,5.5,f,k,n,f,a,c,y,5.55,6.25,,i,n,,,t,,,d,a
p,6.14,s,,n,t,d,c,p,5.59,5.71,,,e,,,f,f,,d,u
p,2.46,b,d,p,f,a,,r,5.03,6.05,,t,r,,,f,f,,g,a
p,2.48,x,g,n,f,a,,w,7.91,2.5,,,n,,,f,f,,d,u
p,0.63,x,g,n,f,a,,p,3.7,0.92,,s,k,,,f,f,,d,s
e,6.98,o,l,n,f,f,f,f,9.16,70.94,,,n,,,f,f,g,d,u
e,5.37,x,y,n,f,s,,g,4.89,8.43,,,w,,,f,f,,d,u
e,21.6,x,d,n,f,p,,w,15.81,36.91,s,y,w,,,f,f,,d,u
e,8.86,f,,g,f,s,c,g,5.77,18.27,b,,u,,,f,f,,d,w
e,7.18,x,d,o,f,d,d,b,5.76,11.75,,,w,,,f,f,,m,w
p,5.46,b,k,n,f,d,c,y,4.89,5.9,,i,n,,,t,,,d,a
p,7.95,p,y,n,f,,,p,16.33,17.36,,,w,,,f,f,,d,a
p,1.79,b,h,n,f,a,,n,5.42,1.84,,t,n,,,f,f,,h,u
p,1.62,x,k,n,f,,,n,4.76,1.47,,,n,,,f,f,,d,a
p,7.09,f,,y,f,x,c,y,6.55,12.54,,,w,,,f,f,,d,u
p,3.48,x,y,n,f,a,,w,5.51,3.51,,y,n,,,t,r,,d,u
e,3.64,x,,y,f,a,c,y,4.8,9.84,,,w,,,f,f,,d,a
p,5.42,x,,y,f,s,d,y,4.64,12.46,,i,y,,,f,f,,d,a
p,4.34,x,s,o,f,a,c,y,5.64,7.76,,g,o,,,f,f,,g,u
e,0.98,p,g,g,f,,,g,3.01,1.61,,,w,,,f,f,,d,u
e,11.03,x,i,n,t,e,,p,8.71,16.56,,y,w,,,t,l,,d,a
e,10.22,x,,n,t,,,w,11.72,14.95,b,,w,u,w,t,g,,d,u
e,5.3,c,,g,f,f,f,f,4.71,18.56,,,n,,,f,f,,l,s
p,15.67,s,k,w,t,d,d,n,6.43,30.6,,,w,,,f,f,,d,w
p,7.44,f,,y,f,x,c,n,6.31,10.31,,,w,,,f,f,,d,u
p,11.95,x,e,n,t,p,,y,8.6,30.84,c,,y,,,f,f,,d,u
p,5.74,x,k,n,f,a,c,n,5.12,6.48,,i,y,,,t,,,d,a
p,13.87,x,e,n,t,p,,e,11.09,38.54,,,e,,,f,f,,d,u
p,11.06,x,,g,f,e,,w,10.14,14.78,,,w,u,w,t,g,,d,a
e,3.57,x,d,n,f,p,,n,5.28,10.85,,,n,,,f,f,,d,a
p,3.16,x,s,g,f,d,c,w,3.03,8.58,,,w,,,f,f,,g,u
p,9.81,x,,w,f,x,c,w,9.24,10.8,r,i,w,,,f,f,,d,a
p,1.69,p,t,n,f,a,c,n,6.37,2.42,,t,y,,,t,e,,m,a
p,2.13,f,,u,f,a,c,w,3.27,3.57,,i,w,,,f,f,,p,u
p,6.12,f,,y,f,x,c,n,5.64,9.45,,,w,,,f,f,,d,a
e,4.57,s,w,y,f,f,f,f,4.37,14.34,,,y,,,f,f,,d,a
p,6.54,f,w,p,f,s,c,p,4.44,9.89,,,p,,,f,f,,d,w
e,7.53,x,,g,t,p,,g,12.06,25.8,,y,w,,,f,f,,d,u
p,3.96,b,y,n,f,,c,u,6.27,4.4,s,s,w,,,f,f,,d,u
e,1.55,x,t,y,f,a,,w,5.9,1.89,,t,y,,,f,f,,h,u
p,8.0,x,i,y,f,a,c,k,8.81,8.23,,i,n,,k,t,z,k,d,u
p,3.0,o,,g,f,f,f,f,3.45,16.58,,g,n,,,f,f,,d,u
e,0.88,f,g,e,t,a,,p,4.92,0.95,,,n,,,f,f,,h,u
p,7.36,x,t,e,f,x,d,w,6.29,18.39,b,,w,,,f,f,,d,u
e,5.82,x,t,o,f,a,d,y,7.89,6.83,,s,n,,,f,f,,d,s
p,4.06,f,w,u,f,a,c,u,6.05,5.64,,s,u,,,f,f,,d,u
p,0.71,x,g,y,f,,,y,3.53,0.73,,,y,,,f,f,,d,u
e,4.06,x,h,o,f,a,c,e,4.36,6.6,,,o,,,f,f,,g,u
p,9.16,x,s,r,t,s,d,w,6.28,15.73,r,y,n,,,f,f,,d,a
p,5.95,x,e,e,f,a,,w,7.64,10.09,,,n,,w,t,z,,d,a
p,3.87,f,d,n,f,x,c,w,4.85,3.35,b,i,n,,,f,f,,l,a
p,1.3,x,s,y,f,f,f,f,3.11,5.59,,,y,,,f,f,,d,u
e,3.34,x,h,n,f,x,c,n,4.09,5.13,,y,n,,,t,r,,d,w
e,10.69,x,t,n,t,p,,y,9.83,23.95,,,n,,,f,f,,d,u
p,2.69,x,s,w,f,d,c,w,3.06,7.06,,,w,,,f,f,,g,u
p,10.65,x,h,n,f,s,,y,7.81,17.65,,i,n,,,f,f,,d,u
p,5.04,x,,w,f,,c,g,3.41,12.7,,,y,,,f,f,,d,a
e,9.34,x,y,n,t,e,,p,8.8,17.0,,y,w,,,t,p,,l,a
p,7.23,x,d,e,t,d,c,n,6.31,7.43,,,n,,,f,f,,d,a
p,4.72,x,h,r,f,s,c,g,5.95,7.08,,y,l,,,t,e,u,m,u
p,3.27,b,,g,f,a,,k,9.36,2.72,,,g,,w,f,f,k,g,u
p,3.78,b,y,n,f,,c,g,6.01,4.57,s,s,w,,,f,f,,d,a
p,1.71,b,h,n,f,a,,n,4.89,1.74,,t,n,,,f,f,,g,s
p,8.35,s,,y,t,d,,o,5.91,12.98,,,w,,,t,f,,d,u
p,6.94,f,,y,f,x,c,n,6.73,10.43,,,w,,,f,f,,d,a
e,5.06,x,,w,f,x,c,n,8.22,10.59,b,,w,,w,t,,,d,u
p,5.47,f,,g,f,d,c,y,6.12,10.83,b,,n,,,f,f,,l,w
p,7.66,f,h,r,f,,c,w,11.13,15.44,,,w,u,w,t,p,,d,a
p,7.87,x,,n,f,p,,w,7.86,24.21,c,,n,,,f,f,w,d,u
e,3.04,b,g,g,f,a,d,g,4.82,3.1,,s,g,,,f,f,,d,s
p,6.34,x,,y,f,s,d,y,5.89,15.9,,i,y,,,f,f,,d,a
p,7.36,s,t,n,t,d,,g,4.36,12.4,,t,r,,,f,f,,d,u
e,53.18,o,y,y,f,p,,y,6.36,32.86,,k,k,,,f,f,,d,u
p,1.72,b,g,o,f,,c,n,6.7,3.07,,,n,,,f,f,,g,a
p,0.78,f,,o,f,d,,o,3.63,0.97,,,y,,,f,f,w,g,a
p,9.24,x,e,o,f,a,,o,11.69,23.44,r,,y,,,t,r,n,d,a
e,11.35,x,e,l,f,x,c,w,7.16,20.46,,,w,,,f,f,,d,a
p,15.34,x,s,n,f,p,,y,4.27,33.23,,,n,,,f,f,,d,a
e,9.97,s,,g,f,s,c,p,7.64,21.66,b,,u,,,f,f,,d,w
e,1.25,f,w,n,f,,d,g,4.4,2.26,,,w,,,f,f,,d,a
p,13.55,f,,g,f,e,,w,11.09,15.25,,,w,u,w,t,e,,d,u
p,9.52,x,e,n,f,a,,n,10.16,12.9,s,,n,,e,f,f,,h,a
p,8.66,p,g,n,f,e,,w,8.87,16.85,,y,w,u,w,t,p,,d,u
p,11.38,x,,n,f,p,,w,9.87,28.36,c,,n,,,f,f,p,d,a
e,4.18,b,g,g,f,a,d,g,5.59,3.77,,s,n,,,f,f,,d,u
p,9.0,s,,y,t,d,,o,5.38,13.48,,,w,,,t,f,,d,a
e,3.67,f,,y,f,x,c,u,5.44,3.35,,,w,,,f,f,,d,u
p,2.03,p,t,n,f,a,c,g,6.04,2.62,,t,y,,,t,e,,m,a
p,8.35,f,,y,f,x,c,n,6.26,11.62,,,w,,,f,f,,d,a
p,0.82,x,g,w,f,a,d,w,3.04,1.23,,,e,,,f,f,,d,a
p,3.21,s,w,u,f,a,c,u,5.05,4.95,,s,u,,,f,f,,d,u
p,1.81,f,t,n,f,,,y,7.28,3.14,,,y,,,f,f,,g,u
e,7.47,f,h,k,f,s,d,w,6.31,10.66,,s,g,,,f,f,,d,a
p,8.71,f,h,r,f,,c,w,11.13,15.03,,,w,u,w,t,p,,d,a
p,2.48,c,h,n,f,,,y,9.28,3.69,,,y,,,f,f,,g,u
p,6.39,s,,n,t,d,c,p,6.98,5.78,,,n,,,f,f,,d,a
e,10.96,s,t,o,t,d,c,o,6.73,18.5,,,w,,,f,f,,d,a
p,2.94,x,y,n,f,a,,w,5.01,3.42,,y,y,,,t,r,,h,a
p,10.52,f,,w,f,x,c,w,11.4,12.29,r,i,w,,,f,f,,d,a
e,11.32,f,s,n,t,e,,g,8.43,17.08,s,,w,,,t,l,,m,u
e,3.83,s,,y,f,f,f,f,7.19,8.27,,,o,,,f,f,,d,a
e,9.9,s,t,p,t,d,c,o,6.15,17.32,,,w,,,f,f,,d,u
p,1.05,x,g,w,f,a,d,w,3.02,1.49,,,n,,,f,f,,l,u
e,8.43,x,h,n,f,p,d,y,7.59,12.71,,s,n,,,f,f,,h,a
e,6.53,f,t,o,f,s,,y,8.9,11.93,,t,o,,,f,f,,d,a
p,3.21,x,i,e,f,,,e,4.66,4.72,,,e,,,f,f,n,d,a
p,8.77,s,t,r,t,d,c,n,5.86,14.87,,,n,,,f,f,,d,u
p,8.74,s,,r,t,d,,o,4.82,12.36,,,w,,,t,f,,d,a
e,9.77,x,y,y,f,,,w,5.72,23.46,b,,n,,w,t,e,,d,w
p,7.55,s,h,g,t,d,,g,4.28,11.91,,t,g,,,f,f,,d,a
p,1.38,b,h,n,f,a,,n,4.46,1.47,,t,n,,,f,f,,h,s
e,6.54,f,g,n,f,s,,n,8.99,12.9,,t,o,,,f,f,,d,a
p,5.94,x,s,e,f,e,,k,6.88,8.51,,,k,,,f,f,,m,a
e,15.89,s,t,w,f,a,d,k,6.86,24.89,,,w,,,f,f,w,d,u
p,3.52,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,18.46,x,d,n,f,p,,y,5.54,45.27,,,n,,,f,f,,d,w
e,4.36,f,s,b,f,d,d,o,5.37,12.39,,,w,,,f,f,,g,a
p,8.82,o,e,o,f,,c,y,1.68,16.19,,,n,,,f,f,,d,a
e,4.11,f,,y,f,x,c,n,6.05,3.39,,,w,,,f,f,,d,a
e,3.01,x,k,n,f,p,,e,4.52,9.28,,,n,,,f,f,,d,a
p,6.66,f,d,n,t,d,c,y,6.39,9.22,,,e,,,f,f,,d,u
p,17.62,f,t,k,t,d,c,n,5.45,28.56,,,r,,,f,f,,l,u
e,9.08,x,s,n,f,e,c,w,6.48,10.25,,i,w,,,f,f,p,d,a
p,5.94,f,,g,f,d,c,w,5.55,9.44,b,,n,,,f,f,,d,w
p,8.23,x,y,w,t,,,w,8.6,14.93,s,,w,,,t,l,,g,a
p,4.5,x,y,n,f,a,,w,6.43,3.74,,y,n,,,t,r,,g,u
p,6.17,x,,g,f,d,c,w,5.73,10.63,b,,n,,,f,f,,d,a
p,2.65,x,g,n,f,a,,w,6.76,2.35,,,w,,,f,f,,d,u
p,2.91,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
e,9.45,f,,n,t,,,w,11.62,16.24,b,,w,u,w,t,g,,d,u
p,4.66,x,t,n,f,s,c,p,6.75,11.46,,,w,,n,t,z,,d,u
e,1.67,f,y,n,f,a,d,p,6.35,3.6,,i,n,,,f,f,,l,a
e,6.41,c,t,n,f,e,,w,12.74,12.86,,s,n,u,w,f,f,,d,a
p,9.36,f,h,r,f,,c,w,10.57,14.57,,,w,u,w,t,p,,d,u
p,0.98,x,g,w,f,a,d,w,2.8,1.56,,,e,,,f,f,,l,u
p,10.71,x,t,n,t,d,c,n,6.01,13.76,,,n,,,f,f,,h,u
e,5.31,f,t,o,f,a,d,y,6.39,6.39,,k,n,,,f,f,,d,a
p,4.85,x,s,y,f,a,c,y,6.26,7.16,,g,o,,,f,f,,g,u
p,8.16,s,h,n,t,d,,g,4.27,11.54,,t,n,,,f,f,,d,a
p,12.7,x,,g,f,e,,w,11.26,14.18,,,w,u,w,t,e,,d,u
e,3.18,f,s,w,f,d,d,w,3.28,4.71,,,w,,,f,f,,m,w
e,8.66,x,t,n,f,p,d,y,8.12,12.48,,s,n,,,f,f,,g,a
e,8.4,x,d,e,t,p,,r,5.94,12.3,,,y,,,f,f,,d,a
e,1.49,x,g,y,f,d,,w,5.95,2.04,,t,y,,,f,f,,g,a
p,12.31,x,s,y,f,s,,p,7.71,17.81,,i,n,,,f,f,,d,u
p,10.62,x,t,n,f,a,d,w,9.61,28.78,,,w,,,f,f,,d,u
e,4.59,f,t,o,f,a,d,y,5.23,4.99,,k,n,,,f,f,,d,a
p,14.09,x,k,n,t,p,,o,8.91,29.23,c,,y,,,f,f,,d,a
p,5.64,x,e,e,f,a,,y,7.65,9.99,,,n,,w,t,z,,d,a
p,6.37,f,k,y,f,p,,n,3.95,7.25,,k,n,,,t,f,,d,u
e,17.05,x,d,e,f,p,,w,15.18,34.74,s,y,w,,,f,f,,d,a
e,11.74,x,s,r,f,x,,n,7.66,26.21,,,w,,,f,f,,d,a
e,3.65,s,,y,f,f,f,f,5.65,7.38,,,o,,,f,f,,d,a
e,4.69,x,,n,f,x,c,w,8.39,10.76,b,,w,,w,t,,,g,a
p,3.63,x,t,n,f,s,c,n,5.34,9.61,,,w,,n,t,z,,d,u
p,1.84,x,i,k,f,a,,w,3.6,2.48,,,w,,,f,f,p,g,u
p,8.11,b,y,w,f,,,k,12.76,16.43,,,w,,,f,f,,d,a
e,14.61,x,e,n,t,e,,w,9.82,16.98,,,w,,,t,,,d,u
p,3.96,b,t,n,f,x,c,p,5.88,4.62,,i,n,,,f,f,,m,u
p,1.69,x,,n,f,,,k,5.03,2.3,,s,n,,,f,f,k,g,u
p,9.6,x,t,n,f,a,d,w,10.57,34.69,,,w,,,f,f,,d,a
e,9.67,f,,n,t,,,w,11.1,16.54,b,,w,u,w,t,g,,d,a
p,7.62,x,i,y,f,a,c,n,8.71,9.09,,i,n,,k,t,z,k,d,u
e,6.24,f,y,n,f,e,c,p,5.4,13.1,,,w,,,t,l,,w,u
p,4.43,s,d,o,f,d,c,o,3.38,5.81,,,y,,,f,f,,h,a
e,6.18,s,,y,f,a,c,w,5.49,13.75,,,g,,,f,f,,d,w
e,17.12,x,e,n,t,e,,w,10.7,18.68,,,w,,,t,,,d,u
e,6.02,x,,y,f,e,,w,5.93,12.43,b,,y,u,y,t,g,,d,a
e,12.83,f,,n,t,,,w,10.16,18.9,b,,w,u,w,t,g,,d,u
p,2.29,b,g,n,f,,c,n,6.63,3.06,,,n,,,f,f,,m,u
p,6.45,x,s,n,t,s,d,r,4.66,14.14,r,i,w,,,f,f,,d,u
e,6.22,o,,n,f,f,f,f,6.7,19.93,,,n,,,f,f,,d,s
e,18.93,f,s,n,f,a,d,k,7.41,23.1,,,w,,,f,f,w,d,a
e,2.78,b,g,w,f,x,d,w,4.37,2.9,,,y,,,f,f,,g,u
p,8.33,s,,o,t,d,,o,4.28,10.29,,,w,,,t,f,,d,a
e,11.78,p,y,w,f,,,w,18.56,16.87,s,,n,,,t,m,,m,a
p,7.66,s,h,g,t,d,,w,4.5,12.9,,t,n,,,f,f,,d,u
e,3.78,f,g,g,f,a,d,g,5.25,3.14,,s,n,,,f,f,,d,a
e,7.16,x,,y,f,a,c,w,5.11,13.37,,,w,,,f,f,,d,u
p,4.97,x,,w,f,,c,w,2.9,11.37,,,y,,,f,f,,d,a
e,1.09,b,g,w,f,,,g,2.36,1.44,,,w,,,f,f,,d,u
p,2.14,x,i,k,f,a,,p,4.05,2.31,,,w,,,f,f,p,g,u
p,8.26,p,y,n,f,,,p,14.97,16.08,,,w,,,f,f,,d,a
p,5.89,x,y,w,t,,,w,6.75,11.03,s,,w,,,t,l,,d,u
e,18.87,p,d,o,f,p,,n,15.12,33.46,s,y,w,,,f,f,,d,a
e,8.46,f,i,n,f,e,c,n,4.59,12.8,,,w,,,t,l,,w,a
p,6.44,x,y,y,f,a,c,n,8.57,8.83,,y,y,,,t,,,d,u
e,1.63,c,g,n,f,a,,g,5.52,1.61,,,g,,,f,f,,d,a
e,3.18,s,,y,f,f,f,f,6.4,7.03,,,o,,,f,f,,d,a
p,9.64,p,,n,f,p,,w,11.28,33.29,c,,n,,,f,f,w,d,a
p,1.73,b,,n,f,a,,g,5.35,2.14,,s,g,,,f,f,,d,u
e,5.78,s,l,n,f,f,f,f,7.73,57.74,,,n,,,f,f,g,l,w
e,4.91,f,s,w,f,e,c,n,5.04,13.16,,,w,,w,t,e,,g,u
p,7.24,f,h,r,f,,c,w,11.25,15.17,,,w,u,w,t,p,,d,u
e,8.9,f,i,n,f,e,c,p,5.51,14.02,,,w,,,t,r,,w,a
p,7.3,b,y,w,f,,,p,14.8,17.34,,,w,,,f,f,,d,a
e,5.1,x,,y,f,a,c,o,5.04,10.36,,,w,,,f,f,,d,u
p,1.07,b,t,y,f,,c,k,3.58,2.41,,,n,,,t,f,,g,u
p,7.11,f,,r,f,x,c,y,6.08,10.5,,,w,,,f,f,,d,u
p,7.45,f,d,e,t,d,c,y,6.18,9.46,,,n,,,f,f,,d,a
p,8.09,f,y,y,f,s,c,y,7.55,15.43,,y,u,,,f,f,,d,a
p,2.42,b,g,w,f,,c,n,5.67,2.91,,,n,,,f,f,,g,a
e,7.82,x,e,y,f,x,c,w,6.68,18.37,,,w,,,f,f,,d,u
p,1.62,x,g,y,f,d,d,n,2.3,2.56,,s,n,,,f,f,,d,a
e,6.7,b,h,k,f,s,d,w,5.89,9.92,,s,g,,,f,f,,d,a
e,7.99,f,e,b,f,,c,b,4.16,17.39,,,w,,,t,f,,d,a
e,3.62,s,,y,f,f,f,f,6.86,8.44,,,y,,,f,f,,d,a
p,3.53,f,d,n,f,x,c,w,5.0,3.26,b,i,n,,,f,f,,d,a
p,9.13,s,,r,t,d,,o,4.88,12.11,,,w,,,t,f,,d,a
p,3.54,x,s,o,f,a,c,y,5.81,7.45,,g,o,,,f,f,,g,a
e,6.09,x,t,n,f,a,d,n,5.62,5.07,,t,g,,,t,l,,d,w
e,5.83,f,w,y,f,f,f,f,4.82,11.4,,,y,,,f,f,,d,u
e,4.52,x,,n,f,x,c,w,8.06,8.17,b,,w,,w,t,,,g,a
e,4.7,x,,w,f,d,,r,5.09,6.62,,,w,,,f,f,,d,u
p,2.74,o,,k,f,f,f,f,3.93,15.81,,g,n,,,f,f,,d,a
p,7.33,p,g,n,f,e,,w,7.11,11.91,,y,w,u,w,t,p,,d,u
p,3.52,b,y,n,f,,c,u,6.91,4.7,s,s,w,,,f,f,,d,u
p,8.2,f,y,u,f,s,c,y,6.14,15.5,,y,u,,,f,f,,d,a
p,13.31,f,,g,f,e,,w,11.22,14.56,,,w,u,w,t,e,,d,u
e,4.7,x,,w,f,x,c,w,8.33,9.9,b,,w,,w,t,,,d,a
p,8.34,s,t,g,t,d,,w,4.61,13.06,,t,g,,,f,f,,d,a
p,9.6,f,,w,f,x,c,w,9.47,9.49,r,i,w,,,f,f,,d,a
p,7.83,s,t,p,t,d,c,p,7.41,13.07,,,p,,,t,f,,d,a
p,2.3,p,t,n,f,a,c,n,6.82,2.4,,t,y,,,t,e,,m,a
p,4.87,b,h,l,f,s,c,n,6.45,8.05,,y,n,,,t,e,u,m,u
e,7.08,f,s,n,f,x,c,w,7.89,12.54,,s,n,,,f,f,,l,a
p,7.64,x,,u,t,x,,u,8.81,20.21,s,,u,,u,f,f,,d,a
p,9.51,x,d,o,f,a,,y,11.14,23.93,r,,o,,,t,r,n,d,w
p,3.56,x,y,y,f,a,,w,6.01,3.56,,y,y,,,t,r,,g,a
p,3.59,f,d,n,f,x,c,y,4.42,2.53,b,i,n,,,f,f,,l,u
e,1.1,b,g,g,f,,,g,3.38,1.88,,,w,,,f,f,,d,s
p,6.63,s,,y,t,d,,o,5.02,12.43,,,w,,,t,f,,d,a
e,3.7,x,,u,f,,d,w,6.68,4.75,,,w,,,f,f,,d,a
p,2.0,p,t,n,f,a,c,g,6.64,2.66,,t,y,,,t,e,,m,a
p,4.5,f,,y,f,x,,w,4.9,6.39,,,w,,,f,f,,d,u
p,18.38,x,k,w,t,d,d,w,7.11,31.41,,,w,,,f,f,,d,u
e,1.76,x,w,n,f,,d,k,5.2,2.64,,,w,,,f,f,,g,a
p,9.35,f,y,u,f,s,c,y,8.35,20.22,,y,e,,,f,f,,d,a
p,3.69,x,h,n,f,a,c,n,3.83,4.49,,y,n,,,t,z,,d,w
p,6.33,x,k,n,f,a,c,n,5.58,6.29,,i,n,,,t,,,d,a
p,7.92,f,,y,f,x,c,y,5.5,9.08,,,w,,,f,f,,d,u
p,6.62,x,t,e,f,x,,w,11.07,6.24,r,g,n,,,f,f,,d,a
e,6.27,x,d,n,t,p,,y,7.17,15.13,,,y,,,f,f,,d,a
e,7.1,x,h,y,f,p,,y,6.97,13.8,,,y,,y,t,,,d,u
p,3.51,f,w,o,t,d,c,y,3.22,6.02,,,n,,,f,f,,d,u
e,10.24,x,s,y,f,x,,n,7.1,22.63,,,p,,,f,f,,d,u
p,3.18,c,,u,f,a,c,n,3.73,3.67,,i,w,,,f,f,,d,u
e,9.39,f,e,b,f,,c,b,4.57,19.97,,,w,,,t,f,,d,a
e,1.67,f,w,g,f,,d,g,4.82,2.63,,,w,,,f,f,,d,u
e,12.56,f,s,w,t,e,,g,13.16,18.79,s,,w,,,t,l,,m,u
e,1.47,c,g,n,f,a,,g,4.57,1.37,,,g,,,f,f,,d,u
p,8.34,x,y,n,f,a,c,y,9.91,11.27,,y,n,,,t,,,d,a
e,8.73,x,y,n,f,e,c,p,5.1,13.35,,,w,,,t,l,,w,a
